id,nombre,razon_social,categoria_id,ciudad,giro
com_verificentro,Verificentro Anáhuac,Verificación Vehicular NL,cat_transporte,San Nicolás de los Garza,servicio_vehicular
com_taller_gonzalez,Taller Mecánico González,Servicios Automotrices González,cat_transporte,Guadalupe,taller
com_cfe,CFE,Comisión Federal de Electricidad,cat_servicios,,electricidad
com_agua_drenaje,Agua y Drenaje de Monterrey,Servicios de Agua y Drenaje de Mty,cat_servicios,Monterrey,agua
com_telmex,Telmex,Teléfonos de México S.A.B. de C.V.,cat_servicios,,internet
com_telcel,Telcel,Radiomóvil Dipsa S.A. de C.V.,cat_servicios,,telefonia
com_gas_natural,Naturgy,Naturgy México S.A. de C.V.,cat_servicios,,gas
com_predial_mty,Predial Monterrey,Municipio de Monterrey,cat_servicios,Monterrey,impuesto_local
com_netflix,Netflix,Netflix Entertainment México,cat_suscripciones,,streaming
com_spotify,Spotify,Spotify México S.A. de C.V.,cat_suscripciones,,streaming
com_disney,Disney+,Disney Streaming México,cat_suscripciones,,streaming
com_hbo,HBO Max,WarnerMedia México S. de R.L.,cat_suscripciones,,streaming
com_icloud,iCloud,Apple Operations México,cat_suscripciones,,nube
com_smartfit,Smart Fit Contry,Smart Fit México S.A. de C.V.,cat_suscripciones,Monterrey,gimnasio
com_sportsworld,Sports World Valle,Grupo Sports World S.A.B.,cat_suscripciones,San Pedro Garza García,gimnasio
com_adobe,Adobe Creative Cloud,Adobe Systems México,cat_suscripciones,,software
com_cinepolis_valle,Cinépolis Valle Oriente,Cinépolis S.A. de C.V.,cat_entretenimiento,San Pedro Garza García,cine
com_arena_mty,Arena Monterrey,Arena Monterrey S.A. de C.V.,cat_entretenimiento,Monterrey,espectaculos
com_parque_fundidora,Parque Fundidora,Parque Fundidora O.P.D.,cat_entretenimiento,Monterrey,recreacion
com_hospital_zambrano,Hospital Zambrano Hellion,Instituto de Salud TecSalud,cat_salud,San Pedro Garza García,hospital
com_dentista_lozano,Consultorio Dental Lozano,Dra. Lozano Odontología,cat_salud,Monterrey,dentista
com_farmacia_guadalajara,Farmacia Guadalajara Contry,Fármacos Especializados,cat_salud,Monterrey,farmacia
com_liverpool_valle,Liverpool Valle Oriente,El Puerto de Liverpool S.A.B.,cat_ropa,San Pedro Garza García,departamental
com_zara_galerias,Zara Galerías Monterrey,Zara México S.A. de C.V.,cat_ropa,Monterrey,ropa
com_home_depot_lincoln,Home Depot Lincoln,Home Depot México S. de R.L.,cat_ropa,Monterrey,mejoramiento_hogar
com_amazon_mx,Amazon México,Amazon Servicios de México,cat_ropa,,comercio_electronico
com_mercado_libre,Mercado Libre,MercadoLibre S. de R.L. de C.V.,cat_ropa,,comercio_electronico
com_colegio_ingles,Colegio Inglés Cumbres,Instituto Educativo del Norte,cat_educacion,Monterrey,escuela
com_platzi,Platzi,Platzi Inc.,cat_educacion,,educacion_en_linea
com_banorte_intereses,Banorte — Intereses,Banco Mercantil del Norte S.A.,cat_financiero,,banca
com_banorte_comisiones,Banorte — Comisiones,Banco Mercantil del Norte S.A.,cat_financiero,,banca
com_banorte_cajero,Banorte — Cajero,Banco Mercantil del Norte S.A.,cat_retiros,Monterrey,banca
